dataset name,archiveType,proxyObservationType,units,proxySystem
ODP1019.Barron.2003,marine sediment,diatom rew,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,diatoms,#,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,dbd,g/cm^3,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.DryBulkDensityDefaultSensor.DryBulkDensity
ODP1019.Barron.2003,marine sediment,artemisia,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,cyperaceae,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,gramineae,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,picea,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,sequoia,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,tct,percent,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
ODP1019.Barron.2003,marine sediment,pollen tot,#,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.FloralDefaultSensor.Floral
Asi-MONG030.Jacoby.2010,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-MONG030.Jacoby.2010,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-Hushre.PAGES2k.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-Hushre.PAGES2k.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Aus-TakapariCedar.Xiong.2000,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Aus-TakapariCedar.Xiong.2000,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
MD01-2390.Steinke.2008,marine sediment,d18oss,per mil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.D18O
MD01-2390.Steinke.2008,marine sediment,mgcass,mmol/mol,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.Mg/Ca
MD01-2390.Steinke.2008,marine sediment,mgcasl,mmol/mol,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.Mg/Ca
