authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
H. Bartels-Jónsdóttir,MarineSediment,Core,NA,NA,NA,NA,NA
Elizabeth K. Thomas,LakeSediment,Layer Thickness,mm,NA,Air Surface,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
B. H. Luckman,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Peter J. M _Ller,MarineSediment,NA,m,NA,NA,Sedimentation Rate,cm/kyr
Y. Huang,LakeSediment,BIT,unitless,NA,NA,Temperature,degC
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Fritz H. Schweingruber,Wood,Tree Ring Width,cm,NA,NA,NA,NA
NA,MarineSediment,Ice-Rafted Debris,no/g,NA,NA,NA,NA
Steig,GlacierIce,D18O,permil,Precipitation Isotope,Air Surface,Air Surface Precipitation Isotope,NA
L.E. Conkey,Wood,Arstan Chronology,NA,NA,NA,NA,NA
C. Saenger,MarineSediment,D18O,permil,Water Temperature,Na,Na Water Temperature,NA
Philippe Huybrechts,GlacierIce,Ice Melt,percent,NA,Na,NA,NA
Trevor J. Porter,GroundIce,Dd,permil,NA,Air Surface,uncertainty temperature1,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
NA,LakeSediment,D18O,permil,Precipitation Isotope,Lake Water,Age BP,AD
M. Kenigsberg,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Simon H.H. Nielsen,MarineSediment,NA,cm,NA,NA,Temperature,degC
M. Dima,MarineSediment,Notes,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Brian H Luckman,Wood,Arstan Chronology,NA,NA,NA,NA,NA
Henderson A.C.G.,LakeSediment,D18O,permil,Precipitation Isotope,Lake Water,Lake Water Precipitation Isotope,NA
Stephen T. Jackson,LakeSediment,Brgdgt,peak area,NA,NA,pH,pH
Mikhail F. Adamenko,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Henning Kuhnert,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Toby R. Ault,Coral,D18O,permil,NA,Sea Surface,NA,NA
M. F. Lehmann,LakeSediment,NA,cm,NA,NA,NA,NA
R. J. S. Wilson,Wood,Tree Ring Width,cm,NA,NA,NA,NA
NA,MarineSediment,NA,cm,NA,NA,D18O,permil
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Robert S. Harbert,Midden,NA,m,NA,NA,NA,NA
Thomas,LakeSediment,Dd,permil,NA,Air Surface,NA,NA
Brendan M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Elfi Mollier-Vogel,MarineSediment,D13C,permil,NA,NA,Temperature,degC
Li Lei,LakeSediment,NA,cm,NA,NA,Temperature,degC
M. J. Peterson,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Gordon Jacoby,Wood,Sample Count,count,NA,NA,NA,NA
NA,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
Kathryn Taffs,LakeSediment,NA,cm,NA,NA,ageError,yr
Nils Andersen,MarineSediment,D18O,permil,NA,NA,Temperature,degC
Hiroyuki Matsuzaki,MarineSediment,Dry Bulk Density,g/cm3,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Catherine R. Samson,MarineSediment,D13C,permil,NA,NA,Temperature,degC
Yvonne Hamann,LakeSediment,NA,mm,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
Hiroyuki Matsuzaki,MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
R. Thunell,MarineSediment,NA,cm,NA,NA,Temperature,degC
David C. Lund,MarineSediment,Mg/Ca,NA,NA,NA,NA,NA
David P. Schneider,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
R. Fletcher,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Rui Zhang,LakeSediment,MBT,NA,NA,NA,NA,NA
Claude Hillaire-Marcel,MarineSediment,NA,cm,NA,NA,NA,NA
Hisashi Yamamoto,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
NA,MarineSediment,Uk37,NA,NA,NA,NA,NA
Gordon C. Jacoby,Wood,Core,NA,NA,NA,NA,NA
Keith R. Briffa,Wood,NA,NA,NA,NA,NA,NA
Brian H Luckman,Wood,Core,NA,NA,NA,NA,NA
T. F. Cooper,Coral,Calcification,g/cm/yr,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
D.W. Peterson,Wood,Residual,NA,NA,NA,NA,NA
Stefan Schouten,LakeSediment,NA,cm,NA,NA,NA,NA
David J. Barclay,Wood,Residual,NA,NA,NA,NA,NA
Rosanne D’Arrigo,Wood,Tree Ring Width,cm,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,NA,NA
D. Hodgson,LakeSediment,NA,NA,NA,Air Surface,NA,NA
S. Weldeab,MarineSediment,NA,cm,NA,NA,D18O,permil
NA,MarineSediment,Total Organic Carbon,percent,NA,NA,surface.temp,degC
V. N. Mikhalenko,GlacierIce,Cl,ppb,NA,NA,NA,NA
Heinz Wanner,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
G. C. Jacoby,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Nicolas David Greber,LakeSediment,Biogenic Silica,mg/cm2/yr,NA,NA,NA,NA
Duane G. Froese,Ice-other,D-Excess,permil,NA,NA,uncertainty temperature1,degC
E. Mosley-Thompson,GlacierIce,D18O,permil,NA,Air Condensationlevel,NA,NA
NA,LakeSediment,NA,cm,NA,NA,NA,NA
F.J.C. Peeters,MarineSediment,Mg/Ca,NA,NA,NA,NA,NA
D.W. Peterson,Wood,NA,NA,NA,NA,NA,NA
Josef P. Werne,LakeSediment,Core,NA,NA,NA,Temperature,degC
Keith R. Briffa,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Dierk Hebbeln,Peat,NA,NA,NA,NA,Temperature,degC
Graf,GlacierIce,D18O,permil,NA,Air Surface,NA,NA
NA,MarineSediment,Ice-Rafted Debris,no/g,NA,NA,NA,NA
Rosanne D. D’Arrigo,Wood,NA,NA,NA,NA,NA,NA
Jim Salinger,Coral,D18O,permil,NA,Sea Surface,NA,NA
Fisher,GlacierIce,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
M. Siccha,MarineSediment,NA,mm,NA,NA,NA,NA
M. E. Davis,GlacierIce,Dust,permil,NA,NA,NA,NA
NA,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
Keith R. Briffa,Wood,Corrs,NA,NA,NA,NA,NA
M. Kucera,MarineSediment,NA,cm,NA,NA,NA,NA
I. Nick Mccave,MarineSediment,Mg/Ca,NA,NA,NA,Temperature,degC
Pallavi Anand,Peat,NA,NA,NA,NA,Temperature,degC
V. Ciardini,GlacierIce,NA,m,NA,NA,NA,NA
V. Ersek,MarineSediment,Mg/Ca,NA,NA,NA,Temperature,degC
Matthew K. Spencer,GlacierIce,Bubblenumberdensity,bubbles/cm3,NA,NA,Temperature,degC
Andrew G. Bunn,Wood,NA,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil PDB,NA,NA,surface.temp,degC
Erika Mashig,Wood,Corrs,NA,NA,NA,NA,NA
B. M. Buckley,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
E. Watson,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
