coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Robert Mulvaney,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Hans Oerter,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,David A. Peel,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Wolfgang Graf,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Carol Arrowsmith,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Elizabeth C. Pasteur,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Bruce Knight,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,Geneviève C. Littot,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[-45.72, -79.57, 890]",PAGES2kv2,Ant-BerknerIsland.Mulvaney.2002.lpd,William D. Miners,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,Meloth Thamban,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,Sushant S. Naik,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,C. M. Laluraj,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[11.54, -70.86, 500]",PAGES2kv2,Ant-CoastalDML.Thamban.2012.lpd,Arun Chaturvedi,glacier ice,measured,NA,D18O,permil,1,NA,Air Condensationlevel,NA,NA
