filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
Asi-AltaiJablonsky.Cook.2000.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiJablonsky.Cook.2000.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiKorumdu.Cook.2005.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiKuraisky.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiKuraiskySteppe.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiSamakhaSteppe.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiTjute.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiUlaganValley.Cook.2011.lpd,tree,Year,NA,NA,NA,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,NA,NA,TRW,NA,NA
Asi-AltaiUstUlaganLake.Cook.2005.lpd,tree,Year,NA,NA,NA,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-BARELC.PAGES2k.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-BHUTSP.PAGES2k.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BHUTSP.PAGES2k.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-BHUTSP.PAGES2k.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,NA,NA,TRW,NA,NA
Asi-BHUTTD.PAGES2k.2013.lpd,tree,Year,NA,NA,NA,NA
Asi-BT001.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT001.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT001.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT002.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT002.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT002.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
Asi-BT003.Cook.2010.lpd,tree,NA,NA,Trsgi,NA,NA
Asi-BT003.Cook.2010.lpd,tree,NA,NA,TRW,NA,NA
Asi-BT003.Cook.2010.lpd,tree,Year,NA,NA,NA,NA
