filename,archiveType,proxyObservationType,units
Asi-Hushre.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-Hushre.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HXBURU.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HXBURU.PAGES2k.2013.lpd,tree,TRW,NA
Asi-HYGJUP.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-HYGJUP.PAGES2k.2013.lpd,tree,TRW,NA
Asi-INDI015.Borgaonkar.2013.lpd,tree,Trsgi,NA
Asi-INDI015.Borgaonkar.2013.lpd,tree,TRW,NA
Asi-INDI024.Borgaonkar.2013.lpd,tree,Trsgi,NA
Asi-INDI024.Borgaonkar.2013.lpd,tree,TRW,NA
Asi-INDI025.Borgaonkar.2013.lpd,tree,Trsgi,NA
Asi-INDI025.Borgaonkar.2013.lpd,tree,TRW,NA
Asi-INDO005.D'Arrigo.2010.lpd,tree,Trsgi,NA
Asi-INDO005.D'Arrigo.2010.lpd,tree,TRW,NA
Asi-JAPA012.Yasue.1997.lpd,tree,Trsgi,NA
Asi-JAPA012.Yasue.1997.lpd,tree,TRW,NA
Asi-JAPA013.Yasue.1997.lpd,tree,Trsgi,NA
Asi-JAPA013.Yasue.1997.lpd,tree,TRW,NA
Asi-JAPA014.Yasue.2013.lpd,tree,Trsgi,NA
Asi-JAPA014.Yasue.2013.lpd,tree,TRW,NA
Asi-JAPA015.Yasue.2013.lpd,tree,Trsgi,NA
Asi-JAPA015.Yasue.2013.lpd,tree,TRW,NA
Asi-JAPA016.Yasue.2013.lpd,tree,Trsgi,NA
Asi-JAPA016.Yasue.2013.lpd,tree,TRW,NA
Asi-JAPA017.Yasue.2013.lpd,tree,Trsgi,NA
Asi-JAPA017.Yasue.2013.lpd,tree,TRW,NA
Asi-JAPA019.Sano.2013.lpd,tree,Trsgi,NA
Asi-JAPA019.Sano.2013.lpd,tree,TRW,NA
Asi-JAPA020.Kimura.2013.lpd,tree,Trsgi,NA
Asi-JAPA020.Kimura.2013.lpd,tree,TRW,NA
Asi-KAZ001.Solomina.2010.lpd,tree,Trsgi,NA
Asi-KAZ001.Solomina.2010.lpd,tree,TRW,NA
Asi-KERALA.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-KERALA.PAGES2k.2013.lpd,tree,TRW,NA
Asi-KunashirIsland.Demezhko.2009.lpd,hybrid,Trsgi,NA
Asi-KYRG002.Esper.2007.lpd,tree,Trsgi,NA
Asi-KYRG002.Esper.2007.lpd,tree,TRW,NA
Asi-KYRG003.Esper.2007.lpd,tree,Trsgi,NA
Asi-KYRG003.Esper.2007.lpd,tree,TRW,NA
Asi-KYRG004.Esper.2007.lpd,tree,Trsgi,NA
Asi-KYRG004.Esper.2007.lpd,tree,TRW,NA
Asi-KYRG005.Esper.2007.lpd,tree,Trsgi,NA
Asi-KYRG005.Esper.2007.lpd,tree,TRW,NA
Asi-KYRG007.Esper.2007.lpd,tree,Trsgi,NA
Asi-KYRG007.Esper.2007.lpd,tree,TRW,NA
Asi-KYRG008.Shiyatov.2013.lpd,tree,Trsgi,NA
Asi-KYRG008.Shiyatov.2013.lpd,tree,TRW,NA
Asi-KYRG009.Shiyatov.2013.lpd,tree,Trsgi,NA
Asi-KYRG009.Shiyatov.2013.lpd,tree,TRW,NA
Asi-KYRG010.Shiyatov.2013.lpd,tree,Trsgi,NA
Asi-KYRG010.Shiyatov.2013.lpd,tree,TRW,NA
Asi-KYRG011.Shiyatov.2013.lpd,tree,Trsgi,NA
Asi-KYRG011.Shiyatov.2013.lpd,tree,TRW,NA
Asi-KYRG012.Solomina.2013.lpd,tree,Trsgi,NA
Asi-KYRG012.Solomina.2013.lpd,tree,TRW,NA
Asi-KYRG013.Solomina.2013.lpd,tree,Trsgi,NA
Asi-KYRG013.Solomina.2013.lpd,tree,TRW,NA
Asi-KYRG014.Solomina.2013.lpd,tree,Trsgi,NA
Asi-KYRG014.Solomina.2013.lpd,tree,TRW,NA
Asi-KYRG015.Solomina.2013.lpd,tree,Trsgi,NA
Asi-KYRG015.Solomina.2013.lpd,tree,TRW,NA
Asi-LAJQIN.PAGES2k.2013.lpd,tree,Trsgi,NA
Asi-LAJQIN.PAGES2k.2013.lpd,tree,TRW,NA
Asi-LowerYangtzeRiver.Zhang.1980.lpd,documents,GhostMeasured,NotApplicable
Asi-MCCHFH.Sano.2008.lpd,tree,Trsgi,NA
Asi-MCCHFH.Sano.2008.lpd,tree,TRW,NA
Asi-MiddleYangtzeRiver.Zhang.1980.lpd,documents,GhostMeasured,NotApplicable
Asi-MONG002.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG002.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG004.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG004.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG006.Jacoby.2006.lpd,tree,Trsgi,NA
Asi-MONG006.Jacoby.2006.lpd,tree,TRW,NA
Asi-MONG007.Schweingruber.2013.lpd,tree,Trsgi,NA
Asi-MONG007.Schweingruber.2013.lpd,tree,TRW,NA
Asi-MONG009.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG009.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG010.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG010.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG011.Jacoby.2006.lpd,tree,Trsgi,NA
Asi-MONG011.Jacoby.2006.lpd,tree,TRW,NA
Asi-MONG012.Jacoby.2006.lpd,tree,Trsgi,NA
Asi-MONG012.Jacoby.2006.lpd,tree,TRW,NA
Asi-MONG014.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG014.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG015.Jacoby.2013.lpd,tree,Trsgi,NA
Asi-MONG015.Jacoby.2013.lpd,tree,TRW,NA
Asi-MONG016.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG016.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG017.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG017.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG018.Jacoby.2010.lpd,tree,Trsgi,NA
Asi-MONG018.Jacoby.2010.lpd,tree,TRW,NA
Asi-MONG019.Jacoby.2010.lpd,tree,Trsgi,NA
