Author,Archives
C. Chang,tree(1)
A.W. Clemens,tree(1)
N. Bykov,tree(1)
D. Yu. Demezhko,"hybrid(1),borehole(1)"
O. N. Solomina,hybrid(1)
J Esper,tree(2)
D C Frank,tree(2)
R J S Wilson,tree(2)
U Büntgen,tree(2)
K Treydte,tree(2)
David C. Frank,tree(18)
Robert J. S. Wilson,tree(16)
Kerstin Treydte,tree(16)
Tatsuo Sweda,tree(1)
N. K. Davi,tree(3)
A. E. Curtis,tree(3)
N. Baatarbileg,tree(3)
Moinuddin Ahmed,tree(1)
Jonathan Palmer,tree(1)
Nasrullah Khan,tree(1)
Muhammad Wahab,tree(1)
Pavla Fenwick,tree(3)
Ed Cook,tree(1)
Tandong Yao,glacier ice(1)
Mary E. Davis,glacier ice(1)
Ellen Mosley-Thompson,"glacier ice(1),GlacierIce(1)"
Tracy A. Mashiotta,glacier ice(1)
Ping-Nan Lin,glacier ice(1)
Vladimir N. Mikhalenko,glacier ice(1)
Victor S. Zagorodnov,glacier ice(1)
M Sano,tree(1)
F Furuta,tree(1)
T Sweda,tree(1)
G. Chu,lake sediment(1)
Q. Sun,lake sediment(1)
X. Wang,lake sediment(1)
M. Liu,lake sediment(1)
Y. Lin,lake sediment(1)
M. Xie,lake sediment(1)
W. Shang,lake sediment(1)
J. Liu,lake sediment(1)
P. M. Munz,marine sediment(1)
M. Siccha,marine sediment(1)
A. Lu Ckge,marine sediment(1)
A. Bo Ll,marine sediment(1)
M. Kucera,"marine sediment(1),MarineSediment(2)"
H. Schulz,marine sediment(1)
I. V. Golovanova,borehole(1)
Fritz H. Schweingruber,tree(44)
Philip D. Jones,"tree(17),Wood(1)"
Eugene A. Vaganov,tree(17)
D. Penny,tree(1)
R. Fletcher,tree(1)
M. Sano,"tree(1),Wood(4)"
L. C. Nam,tree(1)
A. Wichienkeeo,tree(1)
T. T. Minh,tree(1)
T. M. Hong,tree(1)
Ningsheng Qin,tree(1)
Xuemei Shao,tree(1)
Liya Jin,tree(1)
Qingchun Wang,tree(1)
Xide Zhu,tree(1)
Zhenyu Wang,tree(1)
Jinbao Li,tree(1)
M. J. Peterson,tree(1)
M. Barbetti,tree(1)
K. J. Allen,tree(2)
R. J. Francey,tree(2)
K. Michael,tree(2)
K. Saunders,lake sediment(1)
M. Grosjean,"lake sediment(5),tree(1)"
D. Hodgson,lake sediment(1)
Jonathan G. Palmer,tree(3)
Michael J. Peterson,tree(1)
Gretel Boswijk,tree(1)
Anthony Fowler,tree(1)
Edward R Cook,tree(1)
Jonathan G Palmer,tree(1)
Benjamin I Cook,tree(1)
Alan Hogg,tree(1)
Rosanne D D'Arrigo,tree(1)
Richard P. Duncan,tree(1)
Matt S. Mcglone,"tree(1),Peat(5)"
Chris S. M. Turney,"tree(1),Peat(2)"
Rosanne D. D'Arrigo,tree(2)
Wendy S. Wagner,tree(1)
Limin Xiong,tree(1)
Sergi Pla,lake sediment(1)
Jordi Catalan,lake sediment(1)
Petr Dobrovolný,documents(1)
Anders Moberg,documents(2)
Rudolf Brázdil,documents(1)
Christian Pfister,documents(1)
Rüdiger Glaser,documents(1)
Aryan Van Engelen,documents(1)
Danuta Limanówka,documents(1)
Andrea Kiss,documents(1)
Monika Halíčková,documents(1)
Jarmila Macková,documents(1)
Dirk Riemann,documents(1)
Jürg Luterbacher,"documents(1),tree(1)"
Reinhard Böhm,documents(1)
F Abrantes,marine sediment(1)
T Rodrigues,marine sediment(1)
B Montanari,marine sediment(1)
C Santos,marine sediment(1)
L Witt,marine sediment(1)
C Lopes,marine sediment(1)
Ahl Voelker,marine sediment(1)
Ionel Popa,tree(1)
Zoltán Kern,tree(1)
U. Büntgen,tree(3)
W. Tegel,tree(2)
K. Nicolussi,tree(1)
M. Mccormick,tree(1)
V. Trouet,tree(1)
J. O. Kaplan,tree(1)
F. Herzig,tree(1)
K.-U. Heussner,tree(2)
H. Wanner,tree(2)
J. Luterbacher,tree(2)
Matti Vartiainen,tree(1)
Jari Holopainen,"tree(1),Wood(1)"
Hanna Mäkelä,tree(1)
Taneli Kolström,tree(1)
Jouko Meriläinen,tree(1)
Isabelle Larocque-Tobler,"lake sediment(1),LakeSediment(4)"
Martin Grosjean,lake sediment(2)
Oliver Heiri,"lake sediment(1),LakeSediment(7)"
Mathias Trachsel,lake sediment(1)
Christian Kamenik,lake sediment(1)
M. Trachsel,lake sediment(2)
D. Schnyder,lake sediment(1)
C. Kamenik,lake sediment(2)
B. Rein,lake sediment(2)
Daniel Nievergelt,tree(2)
David Frank,tree(9)
Thomas Neuenschwander,tree(1)
Mauri Timonen,"tree(1),Wood(1)"
Eduardo Zorita,tree(1)
Steffen Holzkämper,tree(1)
Nils Fischer,tree(1)
Sebastian Wagner,tree(1)
Anne Verstege,tree(2)
Javier Martín-Chivelet,speleothem(1)
M. Belén Muñoz-García,speleothem(1)
R. Lawrence Edwards,"speleothem(2),coral(1),Speleothem(3)"
María J. Turrero,speleothem(1)
Ana I. Ortega,"speleothem(1),Speleothem(1)"
Paola Moffa-Sánchez,marine sediment(1)
Andreas Born,marine sediment(1)
Ian R. Hall,"marine sediment(1),MarineSediment(1)"
David J. R. Thornalley,"marine sediment(2),MarineSediment(1)"
Stephen Barker,marine sediment(1)
I. Larocque-Tobler,lake sediment(1)
M.M. Stewart,lake sediment(1)
R. Quinlan,lake sediment(1)
I. Dorado Liñán,tree(1)
F. González-Rouco,tree(1)
J. P. Montávez,tree(1)
J. J. Gómez-Navarro,tree(1)
M. Brunet,tree(1)
I. Heinrich,tree(1)
G. Helle,tree(1)
E. Gutiérrez,tree(1)
A. Mangini,speleothem(1)
P. Verdes,speleothem(1)
Lotta Leijonhufvud,documents(1)
Johan Söderberg,documents(1)
Dag Retsö,documents(1)
Ulrica Söderlind,documents(1)
A. Tarand,documents(1)
P.Ø. Nordli,documents(1)
T. Kyncl,tree(1)
C. Ginzler,tree(1)
D. S. Jacks,tree(1)
J. Kyncl,tree(1)
Rosanne D’Arrigo,tree(4)
Erika Mashig,tree(4)
F. Kienast,tree(1)
B. H. Luckman,tree(10)
R. J. S. Wilson,tree(7)
K. Gajewski,"lake sediment(8),LakeSediment(11)"
Scott St George,tree(9)
Brian H Luckman,tree(9)
Donald K. Youngblut,tree(1)
Brian H. Luckman,tree(2)
Nicole K Davi,tree(2)
R. Parish,tree(1)
B. Luckman,tree(2)
Andrew G. Bunn,"tree(2),Wood(1)"
Lisa J. Graumlich,tree(1)
Dean L. Urban,tree(1)
Christof Bigler,tree(1)
Daniel G. Gavin,"tree(1),LakeSediment(2)"
Charles Gunning,tree(1)
Thomas T. Veblen,tree(1)
A. Lloyd,tree(1)
Kurt F. Kipfmueller,tree(2)
P. Fule,tree(1)
D.A. Graybill,tree(7)
Gordon C. Jacoby,tree(4)
J.C. King,tree(4)
G. Wiles,tree(2)
G.C. Jacoby,tree(1)
L.E. Conkey,tree(1)
Rosanne D. D’Arrigo,tree(1)
Laia Andreu-Hayles,tree(1)
Ashley Curtis,tree(1)
F. Biondi,tree(2)
P.M. Brown,tree(2)
John P. Cropper,tree(2)
Harold C. Fritts,tree(2)
S.H. Hill,tree(1)
M.E. Colenutt,tree(2)
B.H. Luckman,tree(2)
L.J. Graumlich,tree(3)
Matthew W. Salzer,"tree(2),Wood(1)"
Nicholas E. Graham,"tree(1),Wood(1)"
Malcolm K. Hughes,"tree(1),Wood(1)"
Erik Schiefer,lake sediment(1)
Brian Menounos,lake sediment(1)
Olav Slaymaker,lake sediment(1)
D.W. Peterson,tree(5)
H.C. Fritts,tree(1)
Brian Luckman,tree(1)
Trudy Kavanagh,tree(1)
R. D'Arrigo,tree(3)
Nathalie Paquette,lake sediment(1)
Konrad Gajewski,"lake sediment(1),LakeSediment(7)"
Jeannine-Marie St. Jacques,lake sediment(1)
Brian F. Cumming,lake sediment(1)
John P. Smol,"lake sediment(1),LakeSediment(1)"
John J. Clague,tree(1)
Richard D. Van Dorp,tree(1)
Robert Gilbert,tree(1)
Duane Froese,tree(1)
Britta J.L. Jensen,tree(1)
Alberto V. Reyes,tree(1)
Stephanie K. Jarvis,tree(1)
Gregory C. Wiles,tree(2)
Sarah N. Appleton,tree(1)
Daniel E. Lawson,tree(1)
B. Buckley,tree(1)
S Kaplan,tree(1)
J. Woollett,tree(1)
Vasile Ersek,"speleothem(1),Speleothem(1)"
Peter U. Clark,"speleothem(1),Speleothem(1)"
Alan C. Mix,"speleothem(1),Speleothem(1)"
Hai Cheng,"speleothem(1),coral(1),Speleothem(2)"
G. T. Pederson,tree(3)
S. T. Gray,tree(3)
C. A. Woodhouse,tree(3)
J. L. Betancourt,tree(3)
D. B. Fagre,tree(3)
J. S. Littell,tree(3)
E. Watson,tree(3)
L. J. Graumlich,tree(3)
David J. Barclay,tree(1)
Parker E. Calkin,tree(1)
M. Kenigsberg,tree(3)
M.W. Salzer,tree(1)
K.F. Kipfmueller,tree(1)
T. Harlan.,tree(1)
K. Kaiser,tree(1)
F. Gennaretti,tree(1)
D. Arseneault,tree(1)
A. Nicault,tree(1)
L. Perreault,tree(1)
Y. Begin,tree(1)
D. Sauchyn,tree(2)
Rosanne Darrigo,tree(1)
A.G. Bunn,tree(1)
D.L. Urban,tree(1)
Ellen R. M. Druffel,coral(1)
Sheila Griffin,coral(1)
V. Nieto-Moreno,marine sediment(2)
F. Martínez-Ruiz,marine sediment(2)
V. Willmott,marine sediment(2)
J. García-Orellana,marine sediment(2)
P. Masqué,marine sediment(2)
J.S. Sinninghe Damsté,marine sediment(2)
Kristine L. Delong,coral(2)
Terrence M. Quinn,"coral(6),marine sediment(2),MarineSediment(1)"
Frederick W. Taylor,coral(5)
Ke Lin,coral(2)
Chuan-Chou Shen,coral(2)
G.A. Heiss,coral(3)
W.C. Dullo,coral(2)
M.M. Joachimski,coral(2)
J.J.G. Reijmer,coral(2)
H. Schuhmacher,coral(2)
Heidi Doose-Rolinski,"marine sediment(1),MarineSediment(1)"
Ulf Rogalla,"marine sediment(1),MarineSediment(1)"
Georg Scheeder,"marine sediment(1),MarineSediment(1)"
Andreas Lückge,marine sediment(1)
Ulrich Von Rad,"marine sediment(1),MarineSediment(1)"
S. Draschba,coral(2)
J. Pätzold,coral(4)
G. Wefer,"coral(4),Coral(3)"
Nathalie F. Goodkin,coral(1)
Konrad A. Hughen,"coral(1),marine sediment(1)"
Scott C. Doney,coral(1)
William B. Curry,"coral(1),MarineSediment(1)"
K.P. Swart,coral(1)
R.E. Dodge,coral(1)
H.J. Judson,coral(1)
C.S. Moses,"coral(2),Coral(1)"
