coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,Andreas Mackensen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,Dinesh K. Naik,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,F. Abrantes,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,S. Lebreiro,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,T. Rodrigues,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,I. Gil,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,H. Bartels-Jónsdóttir,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,P. Oliveira,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,C. Kissel,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,J.O. Grimalt,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[133.44, -5, -2382]",PAGES2kv2,Ocn-WEqPacific.Stott.2007.lpd,L. Stott,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[133.44, -5, -2382]",PAGES2kv2,Ocn-WEqPacific.Stott.2007.lpd,A. Timmermann,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[133.44, -5, -2382]",PAGES2kv2,Ocn-WEqPacific.Stott.2007.lpd,R. Thunell,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.2, -64.87, -1011]",PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,A. E. Shevenell,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.2, -64.87, -1011]",PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,A. E. Ingalls,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.2, -64.87, -1011]",PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,E. W. Domack,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.2, -64.87, -1011]",PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,C. Kelly,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,R. F. Spielhagen,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
