coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,M. Schulz,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,M. Sarnthein,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,S. Kreveld,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,H. Erlenkeuser,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,P. M. Grootes,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,M. Kucera,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,U. Pflaumann,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[14, 75, -1768]",Temp12k1_0_1,GIK23258.Sarnthein.2003.lpd,M. Schulz,MarineSediment,inferred,"this is a composite of the Artificial Neural Network calibration, to estimate annual (from Summer and winter)",NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Catherine R. Samson,MarineSediment,inferred,sst_cold_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Elisabeth L. Sikes,MarineSediment,inferred,sst_cold_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,William R. Howard,MarineSediment,inferred,sst_cold_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Catherine R. Samson,MarineSediment,inferred,sst_cold_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Elisabeth L. Sikes,MarineSediment,inferred,sst_cold_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,William R. Howard,MarineSediment,inferred,sst_cold_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Catherine R. Samson,MarineSediment,inferred,sst_warm_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Elisabeth L. Sikes,MarineSediment,inferred,sst_warm_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,William R. Howard,MarineSediment,inferred,sst_warm_mat,NA,Sea Surface,Temperature,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Catherine R. Samson,MarineSediment,inferred,sst_warm_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Elisabeth L. Sikes,MarineSediment,inferred,sst_warm_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,William R. Howard,MarineSediment,inferred,sst_warm_mat_err,NA,NA,uncertainty.temperature,degC,NA
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Catherine R. Samson,MarineSediment,inferred,sst_cold_mat; sst_warm_mat,NA,Sea Surface,temperatureComposite,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,Elisabeth L. Sikes,MarineSediment,inferred,sst_cold_mat; sst_warm_mat,NA,Sea Surface,temperatureComposite,degC,1
"[177.4392, -36.9225, -2045]",Temp12k1_0_1,H214.Samson.2005.lpd,William R. Howard,MarineSediment,inferred,sst_cold_mat; sst_warm_mat,NA,Sea Surface,temperatureComposite,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Yanhong Zheng,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Richard D. Pancost,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaodong Liu,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhangzhang Wang,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,B.D.A. Naafs,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaoxun Xie,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhao Liu,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xuefeng Yu,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Huan Yang,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Yanhong Zheng,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Richard D. Pancost,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaodong Liu,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhangzhang Wang,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,B.D.A. Naafs,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaoxun Xie,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhao Liu,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xuefeng Yu,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Huan Yang,Peat,inferred,NA,NA,Air Surface,Temperature,degC,1
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Yanhong Zheng,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Richard D. Pancost,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaodong Liu,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhangzhang Wang,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,B.D.A. Naafs,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaoxun Xie,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhao Liu,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xuefeng Yu,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Huan Yang,Peat,inferred,NA,NA,NA,uncertainty_plus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Yanhong Zheng,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Richard D. Pancost,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaodong Liu,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhangzhang Wang,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,B.D.A. Naafs,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xiaoxun Xie,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Zhao Liu,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Xuefeng Yu,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[126.517, 42.2167, 910]",Temp12k1_0_1,Hani.Zheng.2017.lpd,Huan Yang,Peat,inferred,NA,NA,NA,undertainty_minus,degC,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Canfa Wang,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,James A. Bendle,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Hongbin Zhang,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Yi Yang,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Deng Liu,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Junhua Huang,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Jingwei Cui,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Shucheng Xie,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Canfa Wang,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,James A. Bendle,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Hongbin Zhang,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Yi Yang,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Deng Liu,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Junhua Huang,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Jingwei Cui,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[110.4167, 30.45, 294]",Temp12k1_0_1,HeshangCave.Wang.2018.lpd,Shucheng Xie,Speleothem,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Bernd Wagner,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Ole Bennike,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Johanna A. A. Bos,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Holger Cremer,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Andr̩ F. Lotter,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-18.7614, 76.4331, 114]",Temp12k1_0_1,HjortSo.Wagner.2008.lpd,Martin Melles,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Sandrine Solignac,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Michael Grelaud,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Anne De Vernal,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Jacques Giraudeau,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Matthias Moros,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,I. Nicholas Mccave,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Babette Hoogakker,MarineSediment,inferred,temperature_winter,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Sandrine Solignac,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Michael Grelaud,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Anne De Vernal,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Jacques Giraudeau,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Matthias Moros,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,I. Nicholas Mccave,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Babette Hoogakker,MarineSediment,inferred,temperature_summer,NA,Sea Surface,Temperature,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Sandrine Solignac,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Michael Grelaud,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Anne De Vernal,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Jacques Giraudeau,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Matthias Moros,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,I. Nicholas Mccave,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-6.07, 60.11, 1156]",Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,Babette Hoogakker,MarineSediment,inferred,temperature_winter; temperature_summer,NA,Sea Surface,temperatureComposite,degC,1
"[-138.4, 64.63, 1160]",Temp12k1_0_1,Honeymoon.Cwynar.1991.lpd,Les C. Cwynar,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-138.4, 64.63, 1160]",Temp12k1_0_1,Honeymoon.Cwynar.1991.lpd,Ray W. Spear,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Cheng Zhao,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Zhonghui Liu,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Eelco J. Rohling,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Zicheng Yu,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Weiguo Liu,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Yuxin He,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Yan Zhao,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[96.91, 37.28, 2817]",Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,Fahu Chen,LakeSediment,inferred,Digitized temperature from figure 7a,NA,Air Surface,Temperature,degC,1
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Robert Mulvaney,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Nerilie J. Abram,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Richard C. A. Hindmarsh,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Carol Arrowsmith,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Louise Fleet,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Jack Triest,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Louise C. Sime,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Olivier Alemany,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[-57.685, -64.2017, 1542]",Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,Susan Foord,GlacierIce,inferred,raw data JRI-1 age,NA,NA,Age,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,NA,NA,NA,Age,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,NA,NA,NA,ageMin,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,NA,NA,NA,ageDuplicate,BP,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,Proxy inverse modeling of the stable carbon and oxygen isotopes using a mechanistic model that governs the fractionation of these isotopic species in peat cellulose,NA,Air Surface,Temperature,degC,1
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,NA,NA,NA,uncertaintyHigh,degC,NA
"[126.37, 42.33, 600]",Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Shi-Yong Yu,Peat,inferred,NA,NA,NA,uncertaintyLow,degC,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Sebastien Bertrand,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Carina B. Lange,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Silvio Pantoja,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Konrad Hughen,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Evi Van Tornhout,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Julia Smith Wellner,MarineSediment,inferred,NA,NA,NA,Age,BP,NA
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Sebastien Bertrand,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Carina B. Lange,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Silvio Pantoja,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Konrad Hughen,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Evi Van Tornhout,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[-69.4632, -54.3199, -297]",Temp12k1_0_1,JPC67.Bertrand.2017.lpd,Julia Smith Wellner,MarineSediment,inferred,NA,NA,Sea Surface,Temperature,degC,1
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Jonathan L. Baker,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Matthew S. Lachniet,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Olga Chervyatsova,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Yemane Asmerom,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[56.9, 54.2, 240]",Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Victor J. Polyak,Speleothem,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,P Ciais,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,J R Petit,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,J Jouzel,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,C Lorius,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,N I Barkov,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,V Lipenkov,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,V Nicola  Ev,GlacierIce,inferred,NA,NA,NA,Age,BP,NA
"[97.4833, -74.083, 3499]",Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,P Ciais,GlacierIce,inferred,NA,NA,Air Surface,Temperature,degC,1
