dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
MiddenCluster2.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB294348af2,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster3.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBee365cf33,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster3.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBf717905c3,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster3.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBf03210593,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster4.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBbd43db314,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster4.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB04980cd44,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster4.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBe514d1124,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster5.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBeda5d1445,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster5.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBb4d01ad65,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster5.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB68bd240f5,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster6.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBdbc993946,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster6.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB55c8fe9b6,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster6.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB1471566f6,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster7.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB7aee36bc7,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster7.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB185f2ee67,measured,longitude sample,NA,NA,NA,longitude sample,3,decimal degrees,NA,NA,NA,NA
MiddenCluster7.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEB9ddc33ed7,measured,elevation sample,NA,NA,NA,elevation sample,3,m,NA,NA,NA,NA
MiddenCluster8.Harbert.2018.lpd,Temp12k1_0_1,Midden,Midden,WEBbbb69cf38,measured,latitude sample,NA,NA,NA,latitude sample,3,decimal degrees,NA,NA,NA,NA
