TSid,Dataset Name,Compilation Name,variableName,Conflict with
M2L1r9snju2P,Atocas.Gauthier.1981.lpd,Temp12k1_0_1,temperature,set()
M2Lr58abc8kP,Atocas.Gauthier.1981.lpd,Temp12k1_0_1,temperature,set()
M2L68fmqq0lP,Atocas.Gauthier.1981.lpd,Temp12k1_0_1,temperature,set()
M2L8ciiy861P,Atocas.Gauthier.1981.lpd,Temp12k1_0_1,precipitation,set()
PYT4IT5BLL4,Austerkjosen.Seppa.2009.lpd,Temp12k1_0_1,depth,set()
PYTHZNFZ481,Austerkjosen.Seppa.2009.lpd,Temp12k1_0_1,age,set()
PYTLCCXN62R,Austerkjosen.Seppa.2009.lpd,Temp12k1_0_1,temperature,set()
WEB71971cbe,AwengCo.Li.2017.lpd,Temp12k1_0_1,sampleID,set()
WEB783c05c5,AwengCo.Li.2017.lpd,Temp12k1_0_1,depth,set()
WEBb24fbf08,AwengCo.Li.2017.lpd,Temp12k1_0_1,age,set()
WEB7e132cbf,AwengCo.Li.2017.lpd,Temp12k1_0_1,temperature,set()
WEB2a9c6342,AwengCo.Li.2017.lpd,Temp12k1_0_1,tempErrorPlus,set()
WEBbb0bfff9,AwengCo.Li.2017.lpd,Temp12k1_0_1,uncertainty.temperature,set()
T2L_B997_321_depth,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,depth,set()
T2L_B997_321_age_median,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,age,set()
T2L_B997_321_age_original,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,ageOriginal,set()
T2L_B997_321_d18o_pachyderma,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,d18o_pachyderma,set()
T2L_B997_321_d18o_pachyderma_SST_from_d18o_pachyderma,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,temperature,set()
T2L_B997_321_age_medianMedianBacon,B997_321.Castaneda.2004.lpd,Temp12k1_0_1,ageMedianBacon,set()
T2L_B997_324_depth,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,depth,set()
T2L_B997_324_age_median,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,age,set()
T2L_B997_324_age_original,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,ageOriginal,set()
T2L_B997_324_d18o_pachyderma,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,d18o_pachyderma,set()
T2L_B997_324_d18o_pachyderma_SST_from_d18o_pachyderma,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,temperature,set()
T2L_B997_324_age_medianMedianBacon,B997_324.Castaneda.2004.lpd,Temp12k1_0_1,ageMedianBacon,set()
T2L_B997_327_depth,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,depth,set()
T2L_B997_327_age_median,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,age,set()
T2L_B997_327_age_original,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,ageOriginal,set()
T2L_B997_327_d18o_pachyderma,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,d18o_pachyderma,set()
T2L_B997_327_d18o_pachyderma_SST_from_d18o_pachyderma,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,temperature,set()
T2L_B997_327_age_medianMedianBacon,B997_327.Castaneda.2004.lpd,Temp12k1_0_1,ageMedianBacon,set()
RMnsQI0COd0,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,age,set()
RJfXNQ745fl,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,depth,set()
RsaErN699U5,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,GDD5,set()
R5udN7jdMr6,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,temperature,set()
Reuxqn1aPrN,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,temperatureComposite,set()
Rxc7EY1fcRg,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,precipitation,set()
RBT6awPb1VO,BaiedeSeineestuary.Garnaud.2003.lpd,Temp12k1_0_1,temperature,set()
M2Lrx6ke8czP,BanksIsland-12.Gajewski.2000.lpd,Temp12k1_0_1,depth,set()
M2Lx1vtz5ugP,BanksIsland-12.Gajewski.2000.lpd,Temp12k1_0_1,age,set()
M2L4ptir6l2P,BanksIsland-12.Gajewski.2000.lpd,Temp12k1_0_1,temperature,set()
M2L4bz5nk5qP,BanksIsland-12.Gajewski.2000.lpd,Temp12k1_0_1,temperature,set()
